Tiempo;average(B);average(A)
(ms);(V);(V)

-19,61675077;-0,00595185;-0,31300510
-19,60651077;-0,00595157;-0,30988520
-19,59627077;-0,00595723;-0,30707600
-19,58603077;-0,00594942;-0,30439300
-19,57579077;-0,00592955;-0,30178230
-19,56555077;-0,00594217;-0,29924000
-19,55531077;-0,00595103;-0,29597170
-19,54507077;-0,00594351;-0,29313610
-19,53483077;-0,00594003;-0,29014220
-19,52459077;-0,00591290;-0,28712330
-19,51435077;-0,00591557;-0,28430600
-19,50411077;-0,00592200;-0,28126320
-19,49387077;-0,00592067;-0,27823840
-19,48363077;-0,00591395;-0,27486840
-19,47339077;-0,00591557;-0,27195140
-19,46315077;-0,00591504;-0,26866290
-19,45291077;-0,00589919;-0,26612640
-19,44267077;-0,00587608;-0,26263270
-19,43243077;-0,00589005;-0,25940670
-19,42219078;-0,00589623;-0,25620470
-19,41195078;-0,00589166;-0,25307710
-19,40171078;-0,00586077;-0,25051590
-19,39147078;-0,00585996;-0,24730770
-19,38123078;-0,00588628;-0,24326520
-19,37099078;-0,00589059;-0,23941750
-19,36075078;-0,00585970;-0,23600290
-19,35051078;-0,00585486;-0,23282570
-19,34027078;-0,00585001;-0,22889810
-19,33003078;-0,00587231;-0,22564310
-19,31979078;-0,00585727;-0,22245490
-19,30955078;-0,00582208;-0,21891790
-19,29931078;-0,00583363;-0,21559570
-19,28907078;-0,00583981;-0,21189420
-19,27883078;-0,00582717;-0,20799760
-19,26859078;-0,00582853;-0,20452770
-19,25835078;-0,00580006;-0,20140490
-19,24811078;-0,00582961;-0,19738670
-19,23787078;-0,00580918;-0,19395390
-19,22763078;-0,00580299;-0,19036310
-19,21739078;-0,00579790;-0,18672270
-19,20715078;-0,00578851;-0,18352270
-19,19691078;-0,00578930;-0,17993000
-19,18667078;-0,00578017;-0,17609200
-19,17643078;-0,00576781;-0,17176940
-19,16619078;-0,00575250;-0,16849550
-19,15595078;-0,00573720;-0,16447740
-19,14571078;-0,00574012;-0,16059250
-19,13547078;-0,00573745;-0,15678740
-19,12523078;-0,00570225;-0,15254410
-19,11499078;-0,00571112;-0,14890970
-19,10475078;-0,00570870;-0,14496350
-19,09451078;-0,00570200;-0,14088350
-19,08427078;-0,00568480;-0,13686590
-19,07403078;-0,00568130;-0,13317850
-19,06379078;-0,00567432;-0,12895980
-19,05355078;-0,00566813;-0,12514300
-19,04331078;-0,00563939;-0,12111940
-19,03307078;-0,00562704;-0,11738690
-19,02283078;-0,00563509;-0,11370980
-19,01259078;-0,00562355;-0,10938630
-19,00235078;-0,00559830;-0,10478220
-18,99211078;-0,00558405;-0,10035480
-18,98187078;-0,00555372;-0,09651949
-18,97163078;-0,00556525;-0,09234991
-18,96139078;-0,00552871;-0,08840901
-18,95115078;-0,00551395;-0,08426759
-18,94091078;-0,00549460;-0,08054232
-18,93067078;-0,00547659;-0,07605447
-18,92043078;-0,00547443;-0,07190762
-18,91019078;-0,00542608;-0,06777459
-18,89995078;-0,00540432;-0,06398142
-18,88971078;-0,00538606;-0,05984624
-18,87947078;-0,00537743;-0,05571712
-18,86923078;-0,00531619;-0,05155310
-18,85899078;-0,00529899;-0,04780323
-18,84875078;-0,00527240;-0,04338362
-18,83851078;-0,00524231;-0,03884902
-18,82827078;-0,00518724;-0,03457470
-18,81803078;-0,00514452;-0,03062884
-18,80779078;-0,00511795;-0,02607987
-18,79755078;-0,00506311;-0,02198270
-18,78731078;-0,00501529;-0,01728741
-18,77707078;-0,00493336;-0,01356208
-18,76683078;-0,00486755;-0,00924555
-18,75659078;-0,00478372;-0,00479186
-18,74635078;-0,00466980;-0,00054242
-18,73611078;-0,00452526;0,00336578
-18,72587078;-0,00421202;0,00762927
-18,71563078;-0,00331040;0,01168304
-18,70539078;-0,00109186;0,01592657
-18,69515078;0,00256258;0,01993931
-18,68491078;0,00532808;0,02408680
-18,67467078;0,00555268;0,02892232
-18,66443078;0,00518329;0,03328744
-18,65419078;0,00529798;0,03740923
-18,64395078;0,00542695;0,04178604
-18,63371078;0,00547396;0,04580899
-18,62347078;0,00550215;0,04996106
-18,61323078;0,00553388;0,05388162
-18,60299078;0,00559699;0,05814420
-18,59275078;0,00562655;0,06243058
-18,58251078;0,00567166;0,06658395
-18,57227078;0,00567894;0,07057229
-18,56203078;0,00571145;0,07466424
-18,55179078;0,00573616;0,07861469
-18,54155078;0,00577350;0,08295021
-18,53131078;0,00578506;0,08623470
-18,52107078;0,00582401;0,09073516
-18,51083078;0,00584444;0,09466671
-18,50059078;0,00586862;0,09892846
-18,49035078;0,00589011;0,10246410
-18,48011078;0,00588366;0,10674490
-18,46987078;0,00591938;0,11093470
-18,45963078;0,00593174;0,11542310
-18,44939078;0,00595190;0,11910010
-18,43915078;0,00593550;0,12306430
-18,42891078;0,00597043;0,12710760
-18,41867078;0,00599917;0,13158280
-18,40843078;0,00599245;0,13539160
-18,39819078;0,00600670;0,13915910
-18,38795078;0,00601126;0,14333540
-18,37771078;0,00604191;0,14699360
-18,36747078;0,00603947;0,15105500
-18,35723078;0,00603841;0,15448110
-18,34699078;0,00604487;0,15870710
-18,33675078;0,00606822;0,16309080
-18,32651078;0,00607843;0,16717110
-18,31627078;0,00608166;0,17069020
-18,30603078;0,00608461;0,17466700
-18,29579078;0,00607899;0,17809190
-18,28555078;0,00610880;0,18172650
-18,27531078;0,00610530;0,18528380
-18,26507078;0,00611740;0,18875360
-18,25483078;0,00610771;0,19258270
-18,24459078;0,00612572;0,19644290
-18,23435078;0,00614910;0,20006390
-18,22411078;0,00613459;0,20353240
-18,21387078;0,00614695;0,20716120
-18,20363078;0,00613889;0,21071000
-18,19339078;0,00615608;0,21421670
-18,18315078;0,00614586;0,21773410
-18,17291078;0,00615877;0,22067930
-18,16267078;0,00615527;0,22439190
-18,15243078;0,00616064;0,22828580
-18,14219078;0,00616816;0,23205470
-18,13195078;0,00615205;0,23511180
-18,12171078;0,00617193;0,23844870
-18,11147078;0,00618266;0,24226570
-18,10123078;0,00618482;0,24604560
-18,09099078;0,00618374;0,24928980
-18,08075078;0,00616896;0,25225410
-18,07051078;0,00618293;0,25544250
-18,06027078;0,00620175;0,25924090
-18,05003078;0,00619961;0,26223520
-18,03979078;0,00618079;0,26579030
-18,02955078;0,00620604;0,26840080
-18,01931078;0,00621223;0,27158030
-18,00907078;0,00621169;0,27517860
-17,99883078;0,00620202;0,27790280
-17,98859078;0,00619074;0,28101940
-17,97835078;0,00620686;0,28409140
-17,96811078;0,00620254;0,28633510
-17,95787078;0,00620792;0,28910410
-17,94763078;0,00620551;0,29261140
-17,93739078;0,00622485;0,29581910
-17,92715078;0,00622699;0,29922090
-17,91691078;0,00623022;0,30175090
-17,90667078;0,00620766;0,30445330
-17,89643078;0,00621328;0,30762970
-17,88619078;0,00623506;0,31014640
